locus_key	trait	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus153	Cholesterol_in_very_large_HDL	locus153	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus154	Cholesterol_in_very_large_HDL	locus154	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus155	Cholesterol_in_very_large_HDL	locus155	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus156	Cholesterol_in_very_large_HDL	locus156	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus157	Cholesterol_in_very_large_HDL	locus157	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus158	Cholesterol_in_very_large_HDL	locus158	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus159	Cholesterol_in_very_large_HDL	locus159	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus160	Cholesterol_in_very_large_HDL	locus160	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus161	Cholesterol_in_very_large_HDL	locus161	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus162	Cholesterol_in_very_large_HDL	locus162	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus163	Cholesterol_in_very_large_HDL	locus163	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus164	Cholesterol_in_very_large_HDL	locus164	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus165	Cholesterol_in_very_large_HDL	locus165	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus166	Cholesterol_in_very_large_HDL	locus166	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
