locus_key	trait	locus	outcome	p12	nsnp	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	noUKBB	5e-06	2578	0.000213063958514461	0.327272153113064	0.000436841345192102	0.670998269854534	0.00107967172869611
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	noUKBB	1e-05	2578	0.000212834167480931	0.326919187708526	0.000436370208614615	0.670274593325657	0.00215701458972131
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	noUKBB	1e-04	2578	0.00020878107309443	0.320693522251594	0.000428060219368501	0.657510260306308	0.0211593761496357
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	main	1e-06	3971	4.00785531751381e-18	1.05597518596159e-17	0.275110717227206	0.724851362612868	3.79201599265744e-05
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	main	5e-06	3971	4.00724749565021e-18	1.05581503926102e-17	0.275068994586144	0.724741433368634	0.000189572045223782
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	main	1e-05	3971	4.00648797753014e-18	1.05561492418088e-17	0.275016859077698	0.724604068693353	0.000379072228949834
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	main	1e-04	3971	3.99286571696508e-18	1.0520257803636e-17	0.274081787929312	0.722140378427563	0.00377783364312105
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	noUKBB	1e-06	3880	4.14234779676863e-16	1.09106376058742e-15	0.275176236925467	0.724793545697719	3.02173768106046e-05
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	noUKBB	5e-06	3880	4.14184717374167e-16	1.09093190018621e-15	0.275142980528989	0.724705950846544	0.000151068624462824
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	noUKBB	1e-05	3880	4.14122156509625e-16	1.09076711949786e-15	0.275101421335681	0.724596487051957	0.000302091612361308
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	noUKBB	1e-04	3880	4.12999283933338e-16	1.08780955621285e-15	0.274355496885951	0.722631778061156	0.00301272505289363
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	main	1e-06	3077	5.50973351297633e-05	3.64158258396408e-06	0.927472403619764	0.0611871962501049	0.0112816612124177
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	main	5e-06	3077	5.27183336117972e-05	3.48434575073711e-06	0.887425852350335	0.0585452457380474	0.0539726992322565
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	main	1e-05	3077	5.00186899055343e-05	3.30591651308919e-06	0.841981820778431	0.0555472127320692	0.10241764188308
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	main	1e-04	3077	2.60275589764588e-05	1.72025571197853e-06	0.438130857461584	0.0289043627110647	0.532937032012663
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	noUKBB	1e-06	2950	0.000577789683856621	3.7185399694851e-05	0.930232644023672	0.0597741482435562	0.00937823264921987
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	noUKBB	5e-06	2950	0.00055689877862459	3.58409024102074e-05	0.896598602861278	0.0576129188184366	0.0451957386392505
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	noUKBB	1e-05	2950	0.000532817689583791	3.42910912140428e-05	0.857828414062009	0.0551216549097716	0.0864828222474217
